,NODE_ID,LATITUDE,LONGITUDE,geometry,demand_21,LMP_21,gen_21
2712,5532,29.02954247,-96.23604524,POINT (-96.23604524 29.02954247),1,0,0
2713,5534,29.263084,-96.528909,POINT (-96.528909 29.263084),1,0,0
2714,5535,29.23394154,-96.27847071,POINT (-96.27847071 29.23394154),0,0,0
2715,5536,29.39206512,-96.38704001,POINT (-96.38704001 29.39206512),1,0,0
2716,5537,29.5048197,-96.4596403,POINT (-96.4596403 29.5048197),1,0,0
2717,5538,29.18698999,-96.26742311,POINT (-96.26742311 29.18698999),1,0,0
2718,5540,29.134584,-96.230302,POINT (-96.230302 29.134584),1,0,0
2719,5543,29.17058519,-96.25580298,POINT (-96.25580298 29.17058519),1,0,0
2720,5544,29.0757,-96.227745,POINT (-96.227745 29.0757),0,0,0
2721,5546,29.0757,-96.227745,POINT (-96.227745 29.0757),0,0,0
2722,5548,29.0757,-96.227745,POINT (-96.227745 29.0757),1,0,0
2723,5550,28.99782082,-96.15059496,POINT (-96.15059496 28.99782082),1,0,0
2724,5551,28.99343741,-96.14180391,POINT (-96.14180391 28.99343741),1,0,0
2725,5552,28.99782082,-96.15059496,POINT (-96.15059496 28.99782082),1,0,0
2726,5553,28.7570038,-96.2121303,POINT (-96.2121303 28.7570038),1,0,0
2727,5554,28.96674438,-96.06963474,POINT (-96.06963474 28.96674438),0,0,0
2728,5555,28.97230915,-96.08468004,POINT (-96.08468004 28.97230915),1,0,0
2729,5556,,,POINT EMPTY,0,0,0
2730,5558,29.141647,-95.957078,POINT (-95.957078 29.141647),1,0,0
2731,5559,29.00106294,-96.1409496,POINT (-96.1409496 29.00106294),0,0,0
2732,5560,28.98771508,-95.96933179,POINT (-95.96933179 28.98771508),1,0,0
2733,5562,28.99308818,-95.91200632,POINT (-95.91200632 28.99308818),1,0,0
2734,5564,28.87214041,-95.66778646,POINT (-95.66778646 28.87214041),1,0,0
2735,5566,28.92817339,-95.56390774,POINT (-95.56390774 28.92817339),1,0,0
2736,5568,28.92817339,-95.56390774,POINT (-95.56390774 28.92817339),0,0,0
2737,5569,28.830136,-96.144483,POINT (-96.144483 28.830136),1,0,0
2738,5570,28.7570038,-96.2121303,POINT (-96.2121303 28.7570038),1,0,0
2739,5571,28.7570038,-96.2121303,POINT (-96.2121303 28.7570038),0,0,0
